Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
2113,2016,04,10,04/10/2016,02:35 PM,Rangers,AL,Angels,AL
2379,2016,04,10,04/10/2016,03:05 PM,Dodgers,NL,Giants,NL
1600,2016,04,10,04/10/2016,03:10 PM,Cubs,NL,Diamondbacks,NL
2173,2016,04,10,04/10/2016,03:10 PM,Athletics,AL,Mariners,AL
2318,2016,04,10,04/10/2016,03:10 PM,Padres,NL,Rockies,NL
310,2016,04,10,04/10/2016,07:10 PM,Yankees,AL,Tigers,AL
167,2016,04,10,04/10/2016,12:07 PM,Red Sox,AL,Blue Jays,AL
921,2016,04,10,04/10/2016,12:10 PM,Phillies,NL,Mets,NL
1722,2016,04,10,04/10/2016,12:10 PM,Pirates,NL,Reds,NL
624,2016,04,10,04/10/2016,12:35 PM,Cardinals,NL,Braves,NL
782,2016,04,10,04/10/2016,12:35 PM,Marlins,NL,Nationals,NL
5,2016,04,10,04/10/2016,12:35 PM,Rays,AL,Orioles,AL
6,2016,04,11,04/11/2016,01:05 PM,Orioles,AL,Red Sox,AL
1040,2016,04,11,04/11/2016,02:05 PM,Padres,NL,Phillies,NL
1227,2016,04,11,04/11/2016,03:10 PM,White Sox,AL,Twins,AL
1832,2016,04,11,04/11/2016,03:15 PM,Brewers,NL,Cardinals,NL
625,2016,04,11,04/11/2016,06:05 PM,Braves,NL,Nationals,NL
783,2016,04,11,04/11/2016,06:10 PM,Marlins,NL,Mets,NL
1601,2016,04,11,04/11/2016,07:05 PM,Reds,NL,Cubs,NL
1505,2016,04,11,04/11/2016,07:10 PM,Royals,AL,Astros,AL
2114,2016,04,11,04/11/2016,09:05 PM,Angels,AL,Athletics,AL
2216,2016,04,11,04/11/2016,09:10 PM,Rangers,AL,Mariners,AL
1428,2016,04,11,04/11/2016,12:10 PM,Pirates,NL,Tigers,AL
2243,2016,04,12,04/12/2016,03:10 PM,Diamondbacks,NL,Dodgers,NL
626,2016,04,12,04/12/2016,06:05 PM,Braves,NL,Nationals,NL
1041,2016,04,12,04/12/2016,06:05 PM,Padres,NL,Phillies,NL
311,2016,04,12,04/12/2016,06:07 PM,Yankees,AL,Blue Jays,AL
784,2016,04,12,04/12/2016,06:10 PM,Marlins,NL,Mets,NL
433,2016,04,12,04/12/2016,06:10 PM,Indians,AL,Rays,AL
7,2016,04,12,04/12/2016,06:10 PM,Orioles,AL,Red Sox,AL
1506,2016,04,12,04/12/2016,07:10 PM,Royals,AL,Astros,AL
2319,2016,04,12,04/12/2016,07:40 PM,Giants,NL,Rockies,NL
2115,2016,04,12,04/12/2016,09:05 PM,Angels,AL,Athletics,AL
2217,2016,04,12,04/12/2016,09:10 PM,Rangers,AL,Mariners,AL
1429,2016,04,12,04/12/2016,12:10 PM,Pirates,NL,Tigers,AL
2116,2016,04,13,04/13/2016,02:35 PM,Angels,AL,Athletics,AL
2218,2016,04,13,04/13/2016,02:40 PM,Rangers,AL,Mariners,AL
627,2016,04,13,04/13/2016,06:05 PM,Braves,NL,Nationals,NL
1042,2016,04,13,04/13/2016,06:05 PM,Padres,NL,Phillies,NL
1430,2016,04,13,04/13/2016,06:05 PM,Tigers,AL,Pirates,NL
312,2016,04,13,04/13/2016,06:07 PM,Yankees,AL,Blue Jays,AL
434,2016,04,13,04/13/2016,06:10 PM,Indians,AL,Rays,AL
8,2016,04,13,04/13/2016,06:10 PM,Orioles,AL,Red Sox,AL
1602,2016,04,13,04/13/2016,07:05 PM,Reds,NL,Cubs,NL
1507,2016,04,13,04/13/2016,07:10 PM,Royals,AL,Astros,AL
1228,2016,04,13,04/13/2016,07:10 PM,White Sox,AL,Twins,AL
1833,2016,04,13,04/13/2016,07:15 PM,Brewers,NL,Cardinals,NL
