Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
82,2016,04,10,04/10/2016,03:10 PM,Cubs,NL,Diamondbacks,NL
83,2016,04,10,04/10/2016,03:10 PM,Athletics,AL,Mariners,AL
84,2016,04,10,04/10/2016,03:10 PM,Padres,NL,Rockies,NL
85,2016,04,10,04/10/2016,07:10 PM,Yankees,AL,Tigers,AL
86,2016,04,10,04/10/2016,12:07 PM,Red Sox,AL,Blue Jays,AL
87,2016,04,10,04/10/2016,12:10 PM,Phillies,NL,Mets,NL
88,2016,04,10,04/10/2016,12:10 PM,Pirates,NL,Reds,NL
89,2016,04,10,04/10/2016,12:35 PM,Cardinals,NL,Braves,NL
90,2016,04,10,04/10/2016,12:35 PM,Marlins,NL,Nationals,NL
91,2016,04,10,04/10/2016,12:35 PM,Rays,AL,Orioles,AL
92,2016,04,11,04/11/2016,01:05 PM,Orioles,AL,Red Sox,AL
93,2016,04,11,04/11/2016,02:05 PM,Padres,NL,Phillies,NL
94,2016,04,11,04/11/2016,03:10 PM,White Sox,AL,Twins,AL
95,2016,04,11,04/11/2016,03:15 PM,Brewers,NL,Cardinals,NL
96,2016,04,11,04/11/2016,06:05 PM,Braves,NL,Nationals,NL
97,2016,04,11,04/11/2016,06:10 PM,Marlins,NL,Mets,NL
98,2016,04,11,04/11/2016,07:05 PM,Reds,NL,Cubs,NL
99,2016,04,11,04/11/2016,07:10 PM,Royals,AL,Astros,AL
100,2016,04,11,04/11/2016,09:05 PM,Angels,AL,Athletics,AL
101,2016,04,11,04/11/2016,09:10 PM,Rangers,AL,Mariners,AL
102,2016,04,11,04/11/2016,12:10 PM,Pirates,NL,Tigers,AL
103,2016,04,12,04/12/2016,03:10 PM,Diamondbacks,NL,Dodgers,NL
104,2016,04,12,04/12/2016,06:05 PM,Braves,NL,Nationals,NL
105,2016,04,12,04/12/2016,06:05 PM,Padres,NL,Phillies,NL
106,2016,04,12,04/12/2016,06:07 PM,Yankees,AL,Blue Jays,AL
107,2016,04,12,04/12/2016,06:10 PM,Marlins,NL,Mets,NL
108,2016,04,12,04/12/2016,06:10 PM,Indians,AL,Rays,AL
109,2016,04,12,04/12/2016,06:10 PM,Orioles,AL,Red Sox,AL
110,2016,04,12,04/12/2016,07:10 PM,Royals,AL,Astros,AL
111,2016,04,12,04/12/2016,07:40 PM,Giants,NL,Rockies,NL
112,2016,04,12,04/12/2016,09:05 PM,Angels,AL,Athletics,AL
113,2016,04,12,04/12/2016,09:10 PM,Rangers,AL,Mariners,AL
114,2016,04,12,04/12/2016,12:10 PM,Pirates,NL,Tigers,AL
115,2016,04,13,04/13/2016,02:35 PM,Angels,AL,Athletics,AL
116,2016,04,13,04/13/2016,02:40 PM,Rangers,AL,Mariners,AL
117,2016,04,13,04/13/2016,06:05 PM,Braves,NL,Nationals,NL
118,2016,04,13,04/13/2016,06:05 PM,Padres,NL,Phillies,NL
119,2016,04,13,04/13/2016,06:05 PM,Tigers,AL,Pirates,NL
120,2016,04,13,04/13/2016,06:07 PM,Yankees,AL,Blue Jays,AL
121,2016,04,13,04/13/2016,06:10 PM,Indians,AL,Rays,AL
