playername|playerid
Bobby Parnell|9926.0
Chase Anderson|6895.0
Carson Smith|13172.0
Kevin Millwood|106.0
Oliver Perez|1514.0
Rafael Betancourt|177.0
Jeurys Familia|5114.0
Jake Westbrook|412.0
James Paxton|11828.0
A.J. Ramos|8350.0
Jarred Cosart|10304.0
Aaron Loup|10343.0
Paul Maholm|8678.0
Chris Young|3196.0
Alex Colome|6661.0
Carlos Rodon|16137.0
Robbie Ray|11486.0
Justin Grimm|11720.0
Chris Bassitt|12304.0
Pat Neshek|4682.0
Joakim Soria|6941.0
Jeremy Hefner|1989.0
Grant Balfour|718.0
Joel Peralta|2332.0
Randall Delgado|5985.0
Neal Cotts|1797.0
Kevin Siegrist|8180.0
Roy Halladay|1303.0
Roenis Elias|12673.0
LaTroy Hawkins|729.0
Scott Diamond|5089.0
Mariano Rivera|844.0
Mike Dunn|9948.0
Brad Ziegler|7293.0
Sean Marshall|5905.0
Ryan Webb|7474.0
Tyler Chatwood|4338.0
Lucas Harrell|7541.0
Bryan Shaw|8110.0
Burke Badenhop|9736.0
Huston Street|8258.0
Robbie Erlin|10354.0
Sam LeCure|4664.0
Kevin Correia|1767.0
Fernando Salas|4971.0
Jonathan Broxton|4759.0
Brandon Cumpton|11366.0
Jeff Francis|4684.0
Robbie Ross|6819.0
Eduardo Rodriguez|13164.0
Rich Hill|4806.0
Wilton Lopez|4227.0
Jim Johnson|3656.0
Joe Saunders|4366.0
Johan Santana|755.0
Taylor Jungmann|13119.0
Raisel Iglesias|17130.0
Jared Burton|8346.0
J.J. Putz|1795.0
Tony Sipp|8280.0
Josh Tomlin|9388.0
Ronald Belisario|2203.0
Will Harris|3192.0
Aaron Barrett|11243.0
Luis Mendoza|3126.0
David Hernandez|4259.0
Tyler Matzek|10058.0
Jeff Karstens|5879.0
Carter Capps|12803.0
Octavio Dotel|555.0
Mike Bolsinger|11137.0
Chad Bettis|10587.0
James McDonald|5523.0
Jenrry Mejia|8476.0
Keone Kela|14696.0
Roy Oswalt|571.0
Brandon Beachy|8851.0
Nicholas Tropeano|12385.0
Tyler Skaggs|10190.0
Francisco Rodriguez|1642.0
Ross Detwiler|2859.0
Liam Hendriks|3548.0
Manny Parra|4279.0
Tommy Hunter|1157.0
Blaine Hardy|6499.0
Joe Ross|12972.0
Randy Choate|813.0
Matt Lindstrom|4604.0
Roberto Osuna|13764.0
Jeremy Jeffress|9490.0
Jamey Wright|715.0
Jim Henderson|6653.0
Chris Heston|10302.0
Dan Otero|7385.0
David Carpenter|3959.0
